"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Nadia Scoppettone","Division 1","Women","Division 1 Women","Vermont Ruckus",3,5,3,7,12,6,0.5,0.833333333,0.5,1.166666667,2,"Vermont"
"Leo Renzema","Division 1","Men","Division 1 Men","Oregon State Beavers",3,2,3,10,12,5,0.6,0.4,0.6,2,2.4,"Oregon State"
"Jonas Geere","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,3,8,6,12,6,0.833333333,0.5,1.333333333,1,2,"St Olaf"
"Jason Tapper","Division 1","Men","Division 1 Men","Brown Brownian Motion",6,1,7,10,12,8,0.75,0.125,0.875,1.25,1.5,"Brown"
"Jamie Miller","Division 3","Men","Division 3 Men","Claremont Braineaters",2,5,3,6,12,6,0.333333333,0.833333333,0.5,1,2,"Claremont"
"Jacob Trokel","Division 3","Men","Division 3 Men","Rochester Piggies",4,4,1,11,12,6,0.666666667,0.666666667,0.166666667,1.833333333,2,"Rochester"
"Henri Lessard","Division 1","Men","Division 1 Men","NC State Alpha",1,5,0,8,12,6,0.166666667,0.833333333,0,1.333333333,2,"NC State"
"Harriet Dahlstrom","Division 3","Women","Division 3 Women","Middlebury Pranksters",8,3,5,12,12,5,1.6,0.6,1,2.4,2.4,"Middlebury"
"Grace Maroon","Division 1","Women","Division 1 Women","Pennsylvania Venus",18,9,12,9,12,5,3.6,1.8,2.4,1.8,2.4,"Pennsylvania"
"Genevieve Reyland-Slawson","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",1,3,6,4,12,5,0.2,0.6,1.2,0.8,2.4,"Colorado State"
"Edi Lam","Division 1","Women","Division 1 Women","Tufts EWO",3,1,10,4,12,5,0.6,0.2,2,0.8,2.4,"Tufts"
"Cice Kim","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",7,3,3,13,12,5,1.4,0.6,0.6,2.6,2.4,"Colorado State"
"Adam Wright","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",5,7,4,6,12,6,0.833333333,1.166666667,0.666666667,1,2,"Oberlin"
"Zoe Posner","Division 3","Women","Division 3 Women","Colorado College Zenith",2,6,4,3,11,6,0.333333333,1,0.666666667,0.5,1.833333333,"Colorado College"
"Thomas Preston","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",3,1,7,6,11,5,0.6,0.2,1.4,1.2,2.2,"Oklahoma Christian"
"Seth Fried","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,2,9,11,6,0,0,0.333333333,1.5,1.833333333,"North Carolina"
"Seamus Robinson","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",10,3,6,12,11,7,1.428571429,0.428571429,0.857142857,1.714285714,1.571428571,"Cal Poly SLO"
"Ryanne Barrett","Division 1","Women","Division 1 Women","Tufts EWO",5,0,11,5,11,5,1,0,2.2,1,2.2,"Tufts"
"Reece Overholt","Division 3","Men","Division 3 Men","Williams WUFO",1,1,2,9,11,6,0.166666667,0.166666667,0.333333333,1.5,1.833333333,"Williams"
"Presten Berg","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",6,6,5,6,11,5,1.2,1.2,1,1.2,2.2,"Lewis & Clark"
"Nicole lambert","Division 1","Women","Division 1 Women","Stanford Superfly",4,7,0,8,11,7,0.571428571,1,0,1.142857143,1.571428571,"Stanford"
"Max Fleming","Division 3","Men","Division 3 Men","Whitman Sweets",7,2,6,10,11,6,1.166666667,0.333333333,1,1.666666667,1.833333333,"Whitman"
"Macy Hudson","Division 1","Women","Division 1 Women","North Carolina Pleiades",8,3,9,7,11,7,1.142857143,0.428571429,1.285714286,1,1.571428571,"North Carolina"
"Levi Tapper","Division 1","Men","Division 1 Men","Colorado Mambird",8,2,4,13,11,7,1.142857143,0.285714286,0.571428571,1.857142857,1.571428571,"Colorado"
"Leilani Lepe","Division 3","Women","Division 3 Women","Davenport Panthers",11,9,5,8,11,5,2.2,1.8,1,1.6,2.2,"Davenport"
"Katrina McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel",22,3,16,14,11,5,4.4,0.6,3.2,2.8,2.2,"Michigan"
"Kailyn Lowder","Division 1","Women","Division 1 Women","North Carolina Pleiades",6,10,1,6,11,7,0.857142857,1.428571429,0.142857143,0.857142857,1.571428571,"North Carolina"
"Joseph Duerr","Division 3","Men","Division 3 Men","Franciscan Fatal",1,5,2,5,11,6,0.166666667,0.833333333,0.333333333,0.833333333,1.833333333,"Franciscan"
"Griffin Yas","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,2,9,11,5,0,0,0.4,1.8,2.2,"Massachusetts"
"Eva Taberski","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",17,10,3,15,11,6,2.833333333,1.666666667,0.5,2.5,1.833333333,"Mount Holyoke"
"Cameron Freeman","Division 1","Men","Division 1 Men","Washington University Contra",14,4,12,9,11,5,2.8,0.8,2.4,1.8,2.2,"Washington University"
"Calvin Stoughton","Division 1","Men","Division 1 Men","Colorado Mambird",2,5,6,2,11,7,0.285714286,0.714285714,0.857142857,0.285714286,1.571428571,"Colorado"
