"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Olivia Davis","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",6,3,1,8,6,6,1,0.5,0.166666667,1.333333333,1,"Haverford/Bryn"
"Nubia Robles Santiago","Division 1","Women","Division 1 Women","Carleton Syzygy",0,1,2,3,6,6,0,0.166666667,0.333333333,0.5,1,"Carleton"
"Nori Catalano","Division 1","Women","Division 1 Women","Colorado Quandary",7,3,4,6,6,7,1,0.428571429,0.571428571,0.857142857,0.857142857,"Colorado"
"Mikey Curtis","Division 3","Men","Division 3 Men","Berry Bucks",2,2,1,5,6,6,0.333333333,0.333333333,0.166666667,0.833333333,1,"Berry"
"Melissa Torchio","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",21,3,5,19,6,5,4.2,0.6,1,3.8,1.2,"SUNY Binghamton"
"Maximilian Schmiesing","Division 3","Men","Division 3 Men","Franciscan Fatal",8,2,9,3,6,6,1.333333333,0.333333333,1.5,0.5,1,"Franciscan"
"Marcus Beidler","Division 1","Men","Division 1 Men","Oregon EGO",2,0,1,7,6,6,0.333333333,0,0.166666667,1.166666667,1,"Oregon"
"Maggie Coutts","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",0,1,1,4,6,5,0,0.2,0.2,0.8,1.2,"Colorado State"
"Maddy Brown","Division 3","Women","Division 3 Women","Carleton Eclipse",14,6,4,10,6,6,2.333333333,1,0.666666667,1.666666667,1,"Carleton"
"Luca Harwood","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",4,0,7,3,6,5,0.8,0,1.4,0.6,1.2,"Massachusetts"
"Leo Gentile","Division 3","Men","Division 3 Men","Williams WUFO",3,3,0,6,6,6,0.5,0.5,0,1,1,"Williams"
"Landon Hall","Division 3","Men","Division 3 Men","Davenport Panthers",1,1,0,6,6,6,0.166666667,0.166666667,0,1,1,"Davenport"
"Kushal Khangaonkar","Division 1","Men","Division 1 Men","Cal Ursa Major",5,0,5,6,6,5,1,0,1,1.2,1.2,"Cal"
"Kevin Pignone","Division 1","Men","Division 1 Men","North Carolina Darkside",7,1,9,3,6,6,1.166666667,0.166666667,1.5,0.5,1,"North Carolina"
"Keaton Orser","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",2,1,1,6,6,7,0.285714286,0.142857143,0.142857143,0.857142857,0.857142857,"Cal Poly SLO"
"Keali Mccarter","Division 1","Men","Division 1 Men","Oregon EGO",3,6,1,2,6,6,0.5,1,0.166666667,0.333333333,1,"Oregon"
"Justin Wallace","Division 3","Men","Division 3 Men","Franciscan Fatal",7,2,6,5,6,6,1.166666667,0.333333333,1,0.833333333,1,"Franciscan"
"Julian Saunt","Division 1","Men","Division 1 Men","Oregon EGO",2,4,3,1,6,6,0.333333333,0.666666667,0.5,0.166666667,1,"Oregon"
"Josh Solomon","Division 1","Men","Division 1 Men","Michigan Magnum",1,1,2,4,6,5,0.2,0.2,0.4,0.8,1.2,"Michigan"
"John Mogyordy","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,1,5,6,6,0,0,0.166666667,0.833333333,1,"Rochester"
"Jada Himmelberg","Division 3","Women","Division 3 Women","St Olaf Vortex",1,3,2,2,6,5,0.2,0.6,0.4,0.4,1.2,"St Olaf"
"Jack Ringel","Division 3","Men","Division 3 Men","Rochester Piggies",2,2,3,3,6,6,0.333333333,0.333333333,0.5,0.5,1,"Rochester"
"Henry Everett","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,1,1,4,6,5,0,0.2,0.2,0.8,1.2,"Pittsburgh"
"Harper Baer","Division 1","Women","Division 1 Women","Stanford Superfly",14,4,12,4,6,7,2,0.571428571,1.714285714,0.571428571,0.857142857,"Stanford"
"Erica Birdsong","Division 1","Women","Division 1 Women","North Carolina Pleiades",3,3,2,4,6,7,0.428571429,0.428571429,0.285714286,0.571428571,0.857142857,"North Carolina"
"Emmett Forster","Division 3","Men","Division 3 Men","Carleton CHOP",0,2,1,3,6,6,0,0.333333333,0.166666667,0.5,1,"Carleton"
"Emery Goulet","Division 1","Men","Division 1 Men","Cal Ursa Major",2,2,2,4,6,5,0.4,0.4,0.4,0.8,1.2,"Cal"
"Clara Gale","Division 1","Women","Division 1 Women","Carleton Syzygy",4,4,1,5,6,6,0.666666667,0.666666667,0.166666667,0.833333333,1,"Carleton"
"Christopher Heron","Division 1","Men","Division 1 Men","Washington University Contra",2,2,2,4,6,5,0.4,0.4,0.4,0.8,1.2,"Washington University"
"Carter Hawkins","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",5,2,4,5,6,5,1,0.4,0.8,1,1.2,"Massachusetts"
"Benjamin Morse","Division 3","Men","Division 3 Men","Bates Orange Whip",10,1,3,12,6,6,1.666666667,0.166666667,0.5,2,1,"Bates"
"Ben Tokarz","Division 1","Men","Division 1 Men","Penn State Spank",3,5,2,2,6,5,0.6,1,0.4,0.4,1.2,"Penn State"
"Aryanna Chartrand","Division 1","Women","Division 1 Women","Stanford Superfly",2,2,0,6,6,7,0.285714286,0.285714286,0,0.857142857,0.857142857,"Stanford"
"Arthur Aucoin","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,2,2,3,6,5,0.2,0.4,0.4,0.6,1.2,"Massachusetts"
"Anna Matsui","Division 3","Women","Division 3 Women","Colorado College Zenith",2,2,1,5,6,6,0.333333333,0.333333333,0.166666667,0.833333333,1,"Colorado College"
"Anika Quon","Division 1","Women","Division 1 Women","Stanford Superfly",7,4,3,6,6,7,1,0.571428571,0.428571429,0.857142857,0.857142857,"Stanford"
"Alex Hasenkamp","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",4,1,6,3,6,5,0.8,0.2,1.2,0.6,1.2,"Colorado State"
"Alex Hall-Witt","Division 1","Men","Division 1 Men","Oregon EGO",0,3,0,3,6,6,0,0.5,0,0.5,1,"Oregon"
"Aiden Landis","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",13,1,14,4,6,5,2.6,0.2,2.8,0.8,1.2,"Pittsburgh"
"Addie New-Schmidt","Division 3","Women","Division 3 Women","Wellesley Whiptails",13,8,3,8,6,6,2.166666667,1.333333333,0.5,1.333333333,1,"Wellesley"
"Yayla Tur","Division 1","Women","Division 1 Women","Tufts EWO",0,2,0,3,5,5,0,0.4,0,0.6,1,"Tufts"
"Toby Rivera","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",4,3,5,1,5,6,0.666666667,0.5,0.833333333,0.166666667,0.833333333,"Lewis & Clark"
"Talon Balcom","Division 1","Men","Division 1 Men","Texas TUFF",2,2,2,3,5,5,0.4,0.4,0.4,0.6,1,"Texas"
"Summers Filion","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,1,4,5,6,0,0,0.166666667,0.666666667,0.833333333,"Portland"
"Sonia Rao","Division 1","Women","Division 1 Women","North Carolina Pleiades",1,2,1,3,5,7,0.142857143,0.285714286,0.142857143,0.428571429,0.714285714,"North Carolina"
"Sean Rogers","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,4,4,2,5,6,0.833333333,0.666666667,0.666666667,0.333333333,0.833333333,"St Olaf"
"Sarah Lester","Division 3","Women","Division 3 Women","St Olaf Vortex",3,3,0,5,5,5,0.6,0.6,0,1,1,"St Olaf"
"Roger Zeng","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,2,3,5,5,0,0,0.4,0.6,1,"Pittsburgh"
"Pilar Andruet","Division 3","Women","Division 3 Women","Carleton Eclipse",3,4,1,3,5,6,0.5,0.666666667,0.166666667,0.5,0.833333333,"Carleton"
"Philip Acimovic","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",10,6,5,4,5,5,2,1.2,1,0.8,1,"Ottawa"
"Paka Ferrer","Division 1","Women","Division 1 Women","Washington Element",3,4,2,2,5,5,0.6,0.8,0.4,0.4,1,"Washington"
"Owen Lehmkuhl","Division 3","Men","Division 3 Men","St Olaf Berzerkers",4,3,1,5,5,6,0.666666667,0.5,0.166666667,0.833333333,0.833333333,"St Olaf"
"Nicholas Gohar","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",3,1,3,4,5,5,0.6,0.2,0.6,0.8,1,"Ottawa"
"Morey Averill","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",1,5,0,1,5,5,0.2,1,0,0.2,1,"Pittsburgh"
"Molly Bingham","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",0,1,0,4,5,5,0,0.2,0,0.8,1,"USCS"
"Max Sponseller","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,1,5,4,5,6,0.833333333,0.166666667,0.833333333,0.666666667,0.833333333,"St Olaf"
"Mauricio Badillo Moorman","Division 1","Men","Division 1 Men","Carleton CUT",3,1,2,5,5,5,0.6,0.2,0.4,1,1,"Carleton"
"Lisa Wei","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,2,1,4,5,7,0.285714286,0.285714286,0.142857143,0.571428571,0.714285714,"North Carolina"
"Kayla Hickey","Division 1","Women","Division 1 Women","Washington Element",7,2,5,5,5,5,1.4,0.4,1,1,1,"Washington"
"Katie Craven","Division 3","Women","Division 3 Women","Colorado College Zenith",7,6,3,3,5,6,1.166666667,1,0.5,0.5,0.833333333,"Colorado College"
"Kathleen Bourdon","Division 1","Women","Division 1 Women","Victoria Vikes",11,5,6,5,5,5,2.2,1,1.2,1,1,"Victoria"
"Kate Goodman","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,1,4,1,5,5,0.2,0.2,0.8,0.2,1,"Middlebury"
"Julia Mockert","Division 3","Women","Division 3 Women","St Olaf Vortex",2,4,2,1,5,5,0.4,0.8,0.4,0.2,1,"St Olaf"
"Jolie Krebs","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",53,15,38,5,5,5,10.6,3,7.6,1,1,"SUNY Binghamton"
"John Savage","Division 3","Men","Division 3 Men","Middlebury Pranksters",2,1,5,1,5,5,0.4,0.2,1,0.2,1,"Middlebury"
"Joe Salitsky","Division 3","Men","Division 3 Men","Franciscan Fatal",7,5,5,2,5,6,1.166666667,0.833333333,0.833333333,0.333333333,0.833333333,"Franciscan"
"Jayna Rogers","Division 1","Women","Division 1 Women","Oregon Fugue",2,2,3,2,5,6,0.333333333,0.333333333,0.5,0.333333333,0.833333333,"Oregon"
"Jake Worthington","Division 1","Men","Division 1 Men","Texas TUFF",1,2,2,2,5,5,0.2,0.4,0.4,0.4,1,"Texas"
"Jade Remacle","Division 3","Women","Division 3 Women","Davenport Panthers",2,0,1,6,5,5,0.4,0,0.2,1.2,1,"Davenport"
"Jacques Paradis","Division 3","Men","Division 3 Men","Claremont Braineaters",4,3,1,5,5,6,0.666666667,0.5,0.166666667,0.833333333,0.833333333,"Claremont"
"Jackson Heglie","Division 1","Men","Division 1 Men","Oregon EGO",1,0,0,6,5,6,0.166666667,0,0,1,0.833333333,"Oregon"
"Jack Dinsmore","Division 1","Men","Division 1 Men","Cal Ursa Major",0,4,0,1,5,5,0,0.8,0,0.2,1,"Cal"
"Isabel Myers-Miller","Division 1","Women","Division 1 Women","North Carolina Pleiades",5,7,1,2,5,7,0.714285714,1,0.142857143,0.285714286,0.714285714,"North Carolina"
"Iris Guo","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",1,3,0,3,5,6,0.166666667,0.5,0,0.5,0.833333333,"Macalester"
"Hazel DeHarpporte","Division 3","Women","Division 3 Women","Carleton Eclipse",7,6,1,5,5,6,1.166666667,1,0.166666667,0.833333333,0.833333333,"Carleton"
"Georgia Walker-Keleher","Division 1","Women","Division 1 Women","Stanford Superfly",1,1,1,4,5,7,0.142857143,0.142857143,0.142857143,0.571428571,0.714285714,"Stanford"
"Gavyn Jensen-Schneider","Division 3","Men","Division 3 Men","Carleton CHOP",2,4,0,3,5,6,0.333333333,0.666666667,0,0.5,0.833333333,"Carleton"
"Frances Magnuson","Division 3","Women","Division 3 Women","Portland UPRoar",4,3,1,5,5,6,0.666666667,0.5,0.166666667,0.833333333,0.833333333,"Portland"
"Ethan Pigeon","Division 1","Men","Division 1 Men","Penn State Spank",6,3,4,4,5,5,1.2,0.6,0.8,0.8,1,"Penn State"
"Emily Cook","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",5,5,0,5,5,5,1,1,0,1,1,"SUNY Binghamton"
"Elijah Axt","Division 3","Men","Division 3 Men","Claremont Braineaters",13,5,3,10,5,6,2.166666667,0.833333333,0.5,1.666666667,0.833333333,"Claremont"
"Dominic Kenyon","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",3,1,1,6,5,5,0.6,0.2,0.2,1.2,1,"Alabama-Huntsville"
"Cullen Baker","Division 1","Men","Division 1 Men","Carleton CUT",6,2,3,6,5,5,1.2,0.4,0.6,1.2,1,"Carleton"
"Conor Babcock O'Neill","Division 1","Men","Division 1 Men","Carleton CUT",3,0,1,7,5,5,0.6,0,0.2,1.4,1,"Carleton"
"Christopher Kiepert","Division 1","Men","Division 1 Men","Vermont Chill",14,4,9,6,5,5,2.8,0.8,1.8,1.2,1,"Vermont"
"Chase Drinkwater","Division 1","Men","Division 1 Men","Vermont Chill",3,2,2,4,5,5,0.6,0.4,0.4,0.8,1,"Vermont"
"Chander Boyd-Fliegel","Division 1","Men","Division 1 Men","Oregon EGO",10,1,11,3,5,6,1.666666667,0.166666667,1.833333333,0.5,0.833333333,"Oregon"
"Catherine Fradenburg","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,3,0,4,5,7,0.285714286,0.428571429,0,0.571428571,0.714285714,"North Carolina"
"Carter Schafer","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,3,1,1,5,6,0,0.5,0.166666667,0.166666667,0.833333333,"St Olaf"
"Cameron Lowe","Division 3","Men","Division 3 Men","Rochester Piggies",23,5,15,8,5,6,3.833333333,0.833333333,2.5,1.333333333,0.833333333,"Rochester"
"Bix Weissberg","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",4,3,4,2,5,6,0.666666667,0.5,0.666666667,0.333333333,0.833333333,"Oberlin"
"Aria Kischner","Division 1","Women","Division 1 Women","Carleton Syzygy",6,3,1,7,5,6,1,0.5,0.166666667,1.166666667,0.833333333,"Carleton"
"Annika Wolberg","Division 3","Women","Division 3 Women","Wellesley Whiptails",20,11,7,7,5,6,3.333333333,1.833333333,1.166666667,1.166666667,0.833333333,"Wellesley"
"Amanda Roberts","Division 3","Women","Division 3 Women","Wellesley Whiptails",7,7,1,4,5,6,1.166666667,1.166666667,0.166666667,0.666666667,0.833333333,"Wellesley"
"Alison Brzostowicz","Division 1","Women","Division 1 Women","Colorado Quandary",9,6,1,7,5,7,1.285714286,0.857142857,0.142857143,1,0.714285714,"Colorado"
"alex santai","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",5,0,7,3,5,5,1,0,1.4,0.6,1,"Oklahoma Christian"
"Akos Konkoly","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,1,2,2,5,5,0,0.2,0.4,0.4,1,"Minnesota"
"Adam McNichols","Division 1","Men","Division 1 Men","Oregon EGO",3,1,2,5,5,6,0.5,0.166666667,0.333333333,0.833333333,0.833333333,"Oregon"
"Aaron Bedi","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",1,5,1,0,5,6,0.166666667,0.833333333,0.166666667,0,0.833333333,"Oberlin"
"William Ahlstrom","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",6,4,0,6,4,6,1,0.666666667,0,1,0.666666667,"Lewis & Clark"
"Vincent Sullivan","Division 3","Men","Division 3 Men","Middlebury Pranksters",0,0,0,4,4,5,0,0,0,0.8,0.8,"Middlebury"
"Tyler Shelton","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",4,2,2,4,4,6,0.666666667,0.333333333,0.333333333,0.666666667,0.666666667,"Lewis & Clark"
"Spencer Whitcomb","Division 1","Men","Division 1 Men","Penn State Spank",2,2,3,1,4,5,0.4,0.4,0.6,0.2,0.8,"Penn State"
"Silas Camp","Division 3","Men","Division 3 Men","Berry Bucks",0,2,1,1,4,6,0,0.333333333,0.166666667,0.166666667,0.666666667,"Berry"
"Sebastian Heredia","Division 3","Men","Division 3 Men","Claremont Braineaters",0,0,1,3,4,6,0,0,0.166666667,0.5,0.666666667,"Claremont"
"Sasha Monks","Division 3","Women","Division 3 Women","Carleton Eclipse",6,3,5,2,4,6,1,0.5,0.833333333,0.333333333,0.666666667,"Carleton"
"Sarah Rifkin","Division 3","Women","Division 3 Women","Middlebury Pranksters",16,4,11,5,4,5,3.2,0.8,2.2,1,0.8,"Middlebury"
"Sarah Malone","Division 3","Women","Division 3 Women","Colorado College Zenith",1,0,0,5,4,6,0.166666667,0,0,0.833333333,0.666666667,"Colorado College"
"Sara Garcia","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",15,4,6,9,4,6,2.5,0.666666667,1,1.5,0.666666667,"Grinnell"
"Ryan Bliss","Division 1","Men","Division 1 Men","Vermont Chill",6,0,7,3,4,5,1.2,0,1.4,0.6,0.8,"Vermont"
"Robert McAllister","Division 1","Men","Division 1 Men","NC State Alpha",1,1,2,2,4,6,0.166666667,0.166666667,0.333333333,0.333333333,0.666666667,"NC State"
"Riley Raker","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",3,1,4,2,4,5,0.6,0.2,0.8,0.4,0.8,"UCSB"
"Rachel Prager","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",1,2,1,2,4,5,0.2,0.4,0.2,0.4,0.8,"Colorado State"
"Rachel Poppleton","Division 3","Women","Division 3 Women","Carleton Eclipse",3,4,2,1,4,6,0.5,0.666666667,0.333333333,0.166666667,0.666666667,"Carleton"
"Nora Ito","Division 3","Women","Division 3 Women","Colorado College Zenith",1,0,4,1,4,6,0.166666667,0,0.666666667,0.166666667,0.666666667,"Colorado College"
"Nobi (Masao) Lorenz","Division 1","Men","Division 1 Men","Carleton CUT",3,0,2,5,4,5,0.6,0,0.4,1,0.8,"Carleton"
"Nadav Melamede","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,0,3,4,4,5,0.6,0,0.6,0.8,0.8,"Middlebury"
"Monica O'Brien Saez","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",6,3,2,5,4,5,1.2,0.6,0.4,1,0.8,"USCS"
"Mitchell Gibson","Division 1","Men","Division 1 Men","Cal Ursa Major",0,2,0,2,4,5,0,0.4,0,0.4,0.8,"Cal"
"Maxime Ayad","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",7,3,4,4,4,5,1.4,0.6,0.8,0.8,0.8,"Ottawa"
"Matt Fliegel","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,1,4,4,6,0.166666667,0,0.166666667,0.666666667,0.666666667,"Richmond"
"Mars Bau","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,1,0,3,4,5,0,0.2,0,0.6,0.8,"UCSD"
"Maria Muller","Division 1","Women","Division 1 Women","Vermont Ruckus",0,1,0,3,4,6,0,0.166666667,0,0.5,0.666666667,"Vermont"
"Mandy Li","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",3,2,1,4,4,6,0.5,0.333333333,0.166666667,0.666666667,0.666666667,"British Columbia"
"Madeline Wychocki","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",1,1,2,2,4,6,0.166666667,0.166666667,0.333333333,0.333333333,0.666666667,"Mount Holyoke"
"Leo Narbonne","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,1,0,3,4,5,0,0.2,0,0.6,0.8,"Massachusetts"
"Leah Silverman","Division 1","Women","Division 1 Women","Vermont Ruckus",8,3,4,5,4,6,1.333333333,0.5,0.666666667,0.833333333,0.666666667,"Vermont"
"Kristof Rohaly-Medved","Division 1","Men","Division 1 Men","Vermont Chill",4,1,0,7,4,5,0.8,0.2,0,1.4,0.8,"Vermont"
"Kiera Schreiber","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,0,0,7,4,5,0.6,0,0,1.4,0.8,"Colorado State"
"Kenneth Stanley","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",1,4,0,1,4,6,0.166666667,0.666666667,0,0.166666667,0.666666667,"Missouri S&T"
"Julia Smith","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",7,4,4,3,4,6,1.166666667,0.666666667,0.666666667,0.5,0.666666667,"Grinnell"
"Joe Hess","Division 1","Men","Division 1 Men","Washington University Contra",0,1,0,3,4,5,0,0.2,0,0.6,0.8,"Washington University"
"Jamie Jung","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",6,5,1,4,4,6,1,0.833333333,0.166666667,0.666666667,0.666666667,"British Columbia"
"Jackson Knox (Oregon)","Division 1","Men","Division 1 Men","Oregon EGO",1,1,1,3,4,6,0.166666667,0.166666667,0.166666667,0.5,0.666666667,"Oregon"
"Jack Schmader","Division 1","Men","Division 1 Men","Michigan Magnum",1,2,1,2,4,5,0.2,0.4,0.2,0.4,0.8,"Michigan"
"Hiatt von Alten","Division 1","Men","Division 1 Men","NC State Alpha",0,0,1,3,4,6,0,0,0.166666667,0.5,0.666666667,"NC State"
"Henry Chen","Division 1","Men","Division 1 Men","North Carolina Darkside",0,3,1,0,4,6,0,0.5,0.166666667,0,0.666666667,"North Carolina"
"Gus Serff-Roberts","Division 1","Men","Division 1 Men","Oregon State Beavers",1,1,4,0,4,5,0.2,0.2,0.8,0,0.8,"Oregon State"
"Gavin Babbitt","Division 1","Men","Division 1 Men","Texas TUFF",1,1,3,1,4,5,0.2,0.2,0.6,0.2,0.8,"Texas"
"Galen Moll","Division 1","Men","Division 1 Men","Oregon State Beavers",3,2,0,5,4,5,0.6,0.4,0,1,0.8,"Oregon State"
"Ezra Tock","Division 3","Men","Division 3 Men","Rochester Piggies",1,2,1,2,4,6,0.166666667,0.333333333,0.166666667,0.333333333,0.666666667,"Rochester"
"Ethan Greeley","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",3,2,2,3,4,6,0.5,0.333333333,0.333333333,0.5,0.666666667,"Richmond"
"Emma Wennberg","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,3,1,1,4,5,0.2,0.6,0.2,0.2,0.8,"Pennsylvania"
"Ellison Martin","Division 1","Women","Division 1 Women","Georgia Athena",0,2,0,2,4,5,0,0.4,0,0.4,0.8,"Georgia"
"Ellie Kowalski","Division 1","Women","Division 1 Women","Tufts EWO",4,2,4,2,4,5,0.8,0.4,0.8,0.4,0.8,"Tufts"
"Dylan Wilcox","Division 1","Women","Division 1 Women","Vermont Ruckus",1,2,0,3,4,6,0.166666667,0.333333333,0,0.5,0.666666667,"Vermont"
"Dylan Pearson","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,2,2,4,5,0,0,0.4,0.4,0.8,"Cal"
"Daniel Ferriter","Division 1","Men","Division 1 Men","NC State Alpha",10,3,9,2,4,6,1.666666667,0.5,1.5,0.333333333,0.666666667,"NC State"
"Colin Pfister","Division 3","Men","Division 3 Men","Whitman Sweets",7,2,7,2,4,6,1.166666667,0.333333333,1.166666667,0.333333333,0.666666667,"Whitman"
"Charlotte Andreasen","Division 1","Women","Division 1 Women","Michigan Flywheel",4,3,2,3,4,5,0.8,0.6,0.4,0.6,0.8,"Michigan"
"Carter Petrella","Division 3","Men","Division 3 Men","St Olaf Berzerkers",6,2,4,4,4,6,1,0.333333333,0.666666667,0.666666667,0.666666667,"St Olaf"
"Carter Neuman","Division 1","Men","Division 1 Men","Georgia Jojah",1,2,0,3,4,5,0.2,0.4,0,0.6,0.8,"Georgia"
"Carson Crouch","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",3,2,3,2,4,7,0.428571429,0.285714286,0.428571429,0.285714286,0.571428571,"Cal Poly SLO"
"Bryn Norton","Division 3","Women","Division 3 Women","Union Jillz",6,7,1,2,4,6,1,1.166666667,0.166666667,0.333333333,0.666666667,"Union"
"Benjamin Travers","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",13,0,7,10,4,6,2.166666667,0,1.166666667,1.666666667,0.666666667,"Lewis & Clark"
"Ben Fuguet","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",21,9,13,3,4,6,3.5,1.5,2.166666667,0.5,0.666666667,"Oberlin"
"Aylen Learned","Division 1","Men","Division 1 Men","Colorado Mambird",5,0,7,2,4,7,0.714285714,0,1,0.285714286,0.571428571,"Colorado"
"Audrey AlQatami","Division 3","Women","Division 3 Women","Occidental WAC",8,5,3,4,4,6,1.333333333,0.833333333,0.5,0.666666667,0.666666667,"Occidental"
"Anna Roth","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",0,0,2,2,4,6,0,0,0.333333333,0.333333333,0.666666667,"Haverford/Bryn"
"Amy Tse","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",24,14,9,5,4,6,4,2.333333333,1.5,0.833333333,0.666666667,"Haverford/Bryn"
"Alyssa Fallon","Division 1","Women","Division 1 Women","Georgia Athena",0,1,0,3,4,5,0,0.2,0,0.6,0.8,"Georgia"
"Alesh Fremouw","Division 1","Men","Division 1 Men","Oregon State Beavers",1,3,0,2,4,5,0.2,0.6,0,0.4,0.8,"Oregon State"
"Akshay Bhatia","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",5,5,2,2,4,6,0.833333333,0.833333333,0.333333333,0.333333333,0.666666667,"Lewis & Clark"
"Aiden Fields","Division 1","Men","Division 1 Men","NC State Alpha",1,1,1,3,4,6,0.166666667,0.166666667,0.166666667,0.5,0.666666667,"NC State"
"Abigail Stevens","Division 1","Women","Division 1 Women","North Carolina Pleiades",1,3,1,1,4,7,0.142857143,0.428571429,0.142857143,0.142857143,0.571428571,"North Carolina"
"Zoe McDaniel","Division 1","Women","Division 1 Women","Carleton Syzygy",1,3,1,0,3,6,0.166666667,0.5,0.166666667,0,0.5,"Carleton"
"Zane Ross","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,1,1,1,3,6,0,0.166666667,0.166666667,0.166666667,0.5,"St Olaf"
"Zachary Kaufman","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,2,0,1,3,8,0,0.25,0,0.125,0.375,"Brown"
"Zach Brennan","Division 1","Men","Division 1 Men","Georgia Jojah",5,4,3,1,3,5,1,0.8,0.6,0.2,0.6,"Georgia"
"Yael Kaplan","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",2,2,1,2,3,5,0.4,0.4,0.2,0.4,0.6,"USCS"
"William McGlynn","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",3,0,2,4,3,5,0.6,0,0.4,0.8,0.6,"Pittsburgh"
"William Fenimore","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,1,0,5,3,5,0.6,0.2,0,1,0.6,"Middlebury"
"Will Troop","Division 1","Men","Division 1 Men","Carleton CUT",1,1,2,1,3,5,0.2,0.2,0.4,0.2,0.6,"Carleton"
"Wesley Killough-Hill","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,2,1,0,3,5,0,0.4,0.2,0,0.6,"Massachusetts"
"Tobey Chang","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,2,2,3,5,0.2,0,0.4,0.4,0.6,"Michigan"
"Theo Mahaffey","Division 1","Men","Division 1 Men","Minnesota Grey Duck",1,0,0,4,3,5,0.2,0,0,0.8,0.6,"Minnesota"
"Teddy Schwartz","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,1,2,3,6,0,0,0.166666667,0.333333333,0.5,"Rochester"
"Sarah Zhang","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",0,1,0,2,3,6,0,0.166666667,0,0.333333333,0.5,"British Columbia"
